id,latitude,longitude,location,vehicle_number,vehicle_type,violation_type,created_datetime,date,hour,day_of_week,month,week,police_station,junction_name,validation_status,center_code,is_named_junction,is_peak_hour,is_main_road_violation,is_large_vehicle
FKID000010,12.9760117,77.5995401,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0010,CAR,WRONG PARKING,2023-12-22T03:04:46+00:00,2023-12-22,3,Friday,2023-12,2023-W51,Cubbon Park,No Junction,REJECTED,2,False,False,False,False
FKID000011,12.9977199,77.5444952,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0011,CAR,WRONG PARKING,2023-11-28T06:34:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Vijayanagara,BTP205 - Modi Hospital Junction,APPROVED,30,True,False,False,False
FKID000012,13.0081997,77.6933216,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0012,CAR,NO PARKING,2023-11-17T19:01:46+00:00,2023-11-17,19,Friday,2023-11,2023-W46,K.R. Pura,No Junction,APPROVED,15,False,True,False,False
FKID000013,12.9815968,77.6079858,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0013,PASSENGER AUTO,NO PARKING,2023-11-28T07:01:46+00:00,2023-11-28,7,Tuesday,2023-11,2023-W48,Shivajinagar,BTP051 - Safina Plaza Junction,APPROVED,16,True,False,False,False
FKID000014,12.9705743,77.5760169,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL0014,SCOOTER,NO PARKING,2023-12-19T03:51:46+00:00,2023-12-19,3,Tuesday,2023-12,2023-W51,City Market,BTP043 - Upparpet Junction,UNKNOWN,28,True,False,False,False
FKID000015,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0015,SCOOTER,NO PARKING,2023-11-28T06:56:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,APPROVED,14,False,False,False,False
FKID000016,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0016,SCOOTER,NO PARKING,2023-11-28T06:57:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,APPROVED,14,False,False,False,False
FKID000017,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0017,SCOOTER,NO PARKING,2023-11-28T06:57:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,REJECTED,14,False,False,False,False
FKID000018,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0018,SCOOTER,NO PARKING,2023-11-28T07:00:46+00:00,2023-11-28,7,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,REJECTED,14,False,False,False,False
FKID000019,12.912504769635532,77.63381218775751,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0019,SCOOTER,WRONG PARKING,2023-11-26T08:11:46+00:00,2023-11-26,8,Sunday,2023-11,2023-W47,HSR Layout,No Junction,APPROVED,45,False,True,False,False
FKID000020,12.9818638,77.6076237,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0020,SCOOTER,WRONG PARKING,2023-11-17T05:07:46+00:00,2023-11-17,5,Friday,2023-11,2023-W46,Shivajinagar,BTP051 - Safina Plaza Junction,APPROVED,16,True,False,False,False
FKID000021,12.8788916,77.5455426,"Konanakunte Main Road, SV Jasmine, BCMC Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560062 (India)",FKN00GL0021,SCOOTER,WRONG PARKING,2023-11-16T01:03:46+00:00,2023-11-16,1,Thursday,2023-11,2023-W46,Thalagattapura,No Junction,REJECTED,83,False,False,False,False
FKID000022,13.0081888,77.6940167,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0022,CAR,NO PARKING,2023-11-28T06:47:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,K.R. Pura,No Junction,APPROVED,15,False,False,False,False
FKID000023,12.899345,77.6755017,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0023,SCOOTER,NO PARKING,2023-11-20T02:20:46+00:00,2023-11-20,2,Monday,2023-11,2023-W47,Bellandur,No Junction,UNKNOWN,82,False,False,False,False
FKID000024,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0024,MOTOR CYCLE,WRONG PARKING; NO PARKING; PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC; DOUBLE PARKING; PARKING OPPOSITE TO ANOTHER PARKED VEHICLE; PARKING IN A MAIN ROAD,2024-03-14T22:43:46+00:00,2024-03-14,22,Thursday,2024-03,2024-W11,HAL Old Airport,No Junction,APPROVED,13,False,False,True,False
FKID000025,12.989134,77.5925278,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0025,CAR,WRONG PARKING,2023-11-17T22:29:46+00:00,2023-11-17,22,Friday,2023-11,2023-W46,High ground,BTP034 - LRDE Junction,APPROVED,11,True,False,False,False
FKID000026,12.9765458,77.5774892,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0026,CAR,WRONG PARKING,2023-11-28T06:46:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Upparpet,BTP040 - Elite Junction,APPROVED,3,True,False,False,False
FKID000027,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0027,SCOOTER,NO PARKING; WRONG PARKING; PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC; DOUBLE PARKING; PARKING OPPOSITE TO ANOTHER PARKED VEHICLE; PARKING IN A MAIN ROAD,2024-03-14T23:10:46+00:00,2024-03-14,23,Thursday,2024-03,2024-W11,HAL Old Airport,No Junction,APPROVED,13,False,False,True,False
FKID000028,12.9763636,77.577423,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0028,CAR,WRONG PARKING,2023-11-28T06:48:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Upparpet,BTP040 - Elite Junction,APPROVED,3,True,False,False,False
FKID000029,12.9766493,77.5773587,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0029,CAR,WRONG PARKING,2023-11-28T06:44:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Upparpet,BTP040 - Elite Junction,APPROVED,3,True,False,False,False
FKID000030,12.9170676,77.6516121,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0030,SCOOTER,WRONG PARKING,2023-11-17T08:10:46+00:00,2023-11-17,8,Friday,2023-11,2023-W46,HSR Layout,No Junction,APPROVED,45,False,True,False,False
FKID000031,13.008236,77.6938222,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0031,SCOOTER,NO PARKING,2023-11-17T18:42:46+00:00,2023-11-17,18,Friday,2023-11,2023-W46,K.R. Pura,No Junction,APPROVED,15,False,True,False,False
FKID000032,12.9739617,77.5783701,"Maharaja Times, 8th Cross Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",FKN00GL0032,CAR,WRONG PARKING,2024-03-10T06:12:46+00:00,2024-03-10,6,Sunday,2024-03,2024-W10,Upparpet,BTP044 - Sagar Theatre Junction,UNKNOWN,3,True,False,False,False
FKID000033,13.0665088,77.5702131,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0033,CAR,WRONG PARKING,2024-03-10T05:22:46+00:00,2024-03-10,5,Sunday,2024-03,2024-W10,Kodigehalli,No Junction,UNKNOWN,,False,False,False,False
FKID000034,13.0636063,77.5719658,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0034,CAR,WRONG PARKING,2024-03-10T05:25:46+00:00,2024-03-10,5,Sunday,2024-03,2024-W10,Kodigehalli,No Junction,UNKNOWN,,False,False,False,False
FKID000035,13.0636063,77.5719658,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0035,CAR,WRONG PARKING,2024-03-10T05:30:46+00:00,2024-03-10,5,Sunday,2024-03,2024-W10,Kodigehalli,No Junction,UNKNOWN,,False,False,False,False
FKID000036,13.0635231,77.5720156,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0036,GOODS AUTO,WRONG PARKING,2024-03-10T05:30:46+00:00,2024-03-10,5,Sunday,2024-03,2024-W10,Kodigehalli,No Junction,UNKNOWN,,False,False,False,True
FKID000037,13.0453131,77.5055565,"Nelagadaranahalli Main Road, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)",FKN00GL0037,SCOOTER,WRONG PARKING,2023-11-17T21:28:46+00:00,2023-11-17,21,Friday,2023-11,2023-W46,Peenya,No Junction,APPROVED,20,False,False,False,False
FKID000038,12.996202,77.5631413,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",FKN00GL0038,SCOOTER,NO PARKING,2023-11-18T04:42:46+00:00,2023-11-18,4,Saturday,2023-11,2023-W46,Sheshadripuram,No Junction,APPROVED,87,False,False,False,False
FKID000039,12.9701331,77.6412858,"12th Main Road, Sony World Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL0039,CAR,NO PARKING,2023-11-17T04:25:46+00:00,2023-11-17,4,Friday,2023-11,2023-W46,Jeevanbheemanagar,No Junction,APPROVED,4,False,False,False,False
FKID000040,13.0067231,77.6877788,"MBT Road, ITI Township, KR Puram, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL0040,VAN,WRONG PARKING,2023-11-17T20:26:46+00:00,2023-11-17,20,Friday,2023-11,2023-W46,K.R. Pura,No Junction,APPROVED,15,False,True,False,True
FKID000041,12.9397103,77.6954773,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0041,CAR,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:15:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,False
FKID000042,13.0714811,77.5677451,"Kodigehalli Road, Uthallappa Layout, Thindlu, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0042,CAR,WRONG PARKING,2024-03-10T05:17:46+00:00,2024-03-10,5,Sunday,2024-03,2024-W10,Kodigehalli,No Junction,UNKNOWN,,False,False,False,False
FKID000043,12.9397348,77.6955295,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0043,MAXI-CAB,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:14:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000044,12.9755693,77.5816368,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0044,CAR,NO PARKING,2023-12-17T06:07:46+00:00,2023-12-17,6,Sunday,2023-12,2023-W50,Upparpet,BTP038 - Mysore Bank Junction,UNKNOWN,3,True,False,False,False
FKID000045,12.9397473,77.6955013,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0045,MAXI-CAB,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:14:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000046,12.9397338,77.6954854,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0046,MAXI-CAB,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:14:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000047,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000048,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000049,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000050,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000051,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000052,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000053,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:10:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000054,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,WRONG PARKING,2024-03-10T07:11:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000055,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,WRONG PARKING,2024-03-10T07:11:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000056,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,WRONG PARKING,2024-03-10T07:11:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000057,12.841905,77.6455267,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0050,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:11:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000058,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,WRONG PARKING,2024-03-10T07:12:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000059,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,WRONG PARKING,2024-03-10T07:12:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000060,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:34:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000061,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:34:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000062,12.9940425,77.5891127,"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0053,SCOOTER,NO PARKING,2023-11-28T21:22:46+00:00,2023-11-28,21,Tuesday,2023-11,2023-W48,High ground,BTP032 - Windsor Circle,APPROVED,11,True,False,False,False
FKID000063,12.9349413,77.5364074,"8th Main Road, Veerannana Guda, Veerabhadra Nagar, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",FKN00GL0054,SCOOTER,NO PARKING,2023-11-28T21:20:46+00:00,2023-11-28,21,Tuesday,2023-11,2023-W48,Banashankari,No Junction,APPROVED,23,False,False,False,False
FKID000064,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:34:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000065,12.9396829,77.6955035,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0055,LGV,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:15:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,False
FKID000066,12.9397901,77.6954983,"Outer Ring Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0057,MAXI-CAB,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:14:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000067,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:34:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000068,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0052,MOTOR CYCLE,WRONG PARKING,2024-03-10T07:34:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Electronic City,No Junction,UNKNOWN,38,False,False,False,False
FKID000069,12.99600071315529,77.69450963523893,"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",FKN00GL0058,PASSENGER AUTO,PARKING IN A MAIN ROAD; NO PARKING; PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,2024-03-10T07:44:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Mahadevapura,No Junction,UNKNOWN,84,False,False,True,False
FKID000070,12.89209527630706,77.63817775007108,"Electronics City Flyover, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0059,PASSENGER AUTO,WRONG PARKING,2024-03-10T07:33:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,HSR Layout,No Junction,UNKNOWN,45,False,False,False,False
FKID000071,12.99600071315529,77.69450963523893,"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",FKN00GL0060,PASSENGER AUTO,PARKING IN A MAIN ROAD; NO PARKING; PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,2024-03-10T07:44:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,Mahadevapura,No Junction,UNKNOWN,84,False,False,True,False
FKID000072,12.9397541,77.6956221,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0061,MAXI-CAB,PARKING IN A MAIN ROAD; WRONG PARKING,2023-11-22T01:14:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000073,12.9270323,77.6781702,"Outer Ring Road, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0063,PASSENGER AUTO,NO PARKING,2023-11-17T22:36:46+00:00,2023-11-17,22,Friday,2023-11,2023-W46,Bellandur,No Junction,APPROVED,82,False,False,False,False
FKID000074,12.89209527630706,77.63817775007108,"Electronics City Flyover, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0064,SCOOTER,WRONG PARKING,2024-03-10T07:33:46+00:00,2024-03-10,7,Sunday,2024-03,2024-W10,HSR Layout,No Junction,UNKNOWN,45,False,False,False,False
FKID000075,12.9397529,77.6956764,"Kadubeesanahalli Underpass, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0065,MAXI-CAB,PARKING IN A MAIN ROAD; NO PARKING,2023-11-22T01:13:46+00:00,2023-11-22,1,Wednesday,2023-11,2023-W47,HAL Old Airport,No Junction,APPROVED,13,False,False,True,True
FKID000076,12.9995616,77.6742793,"Outer Ring Road, Dargah Mohalla, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL0066,CAR,WRONG PARKING,2023-12-24T20:08:46+00:00,2023-12-24,20,Sunday,2023-12,2023-W51,Banaswadi,No Junction,UNKNOWN,34,False,True,False,False
