hotspot_id,hotspot_type,hotspot_name,police_station,latitude,longitude,violation_count,unique_vehicle_count,repeat_vehicle_count,large_vehicle_share,main_road_violation_share,peak_hour_share,active_days,latest_datetime,top_violation_type,hotspot_severity,daily_density,repeat_offender_ratio,pcis_daily_density,pcis_peak_hour,pcis_large_vehicle,pcis_main_road,pcis_repeat_offender,pcis_score,pcis_percentile,pcis_band
U-9efb42d8,Discovered Unknown,Unknown Hotspot U-0379,Jalahalli,13.0456411,77.5485741,48,46,0,0.0625,0.6875,0.375,8,2024-02-09T22:10:46+00:00,NO PARKING,24.15,6.0,0.0,72.4679,95.4351,59.2011,95.1498,53.067,77.02,96.29,Critical
U-ca1987f9,Discovered Unknown,Unknown Hotspot U-0333,Pulikeshinagar(F.Town),13.0059966,77.6206483,32,30,0,0.0,0.4688,0.75,1,2024-04-04T19:05:46+00:00,WRONG PARKING,20.91,32.0,0.0,98.1455,99.2867,18.5449,89.0157,53.067,76.63,96.15,Critical
N-1b2baade,Named Junction,"BTP117 - 9th Cross, Kanakapura Road",J.P. Nagar,12.9108194,77.5736923,120,86,4,0.4667,0.025,0.2917,26,2024-03-27T21:20:46+00:00,WRONG PARKING,39.15,4.6154,0.0465,63.4807,90.8702,98.1455,40.0856,91.5835,76.56,96.01,Critical
U-f90bde98,Discovered Unknown,Unknown Hotspot U-0257,Whitefield,12.9563644,77.7321309,74,72,0,0.2162,0.7297,0.2568,19,2024-04-07T07:59:46+00:00,WRONG PARKING,36.39,3.8947,0.0,56.2054,89.0157,87.8745,96.1484,53.067,76.42,95.86,Critical
N-b0e2bb5c,Named Junction,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,12.9670256,77.5742335,1529,1296,36,0.1086,0.2466,0.0831,129,2024-04-08T03:21:46+00:00,WRONG PARKING,55.35,11.8527,0.0278,90.0143,56.6334,73.1812,80.3138,83.7375,76.22,95.72,Critical
U-af6d3efb,Discovered Unknown,Unknown Hotspot U-0019,Bellandur,12.9269632,77.6787047,2018,1884,14,0.389,0.0069,0.1467,120,2024-04-07T03:03:46+00:00,WRONG PARKING,60.63,16.8167,0.0074,94.2939,73.3238,96.4337,27.5321,60.3424,76.07,95.58,Critical
N-fd860ceb,Named Junction,BTP082 - KR Market Junction,City Market,12.9644242,77.5771207,10109,8529,136,0.0349,0.0295,0.3302,152,2024-04-08T17:30:46+00:00,WRONG PARKING,60.48,66.5066,0.0159,99.572,93.4379,44.5078,43.7946,73.3238,76.03,95.44,Critical
U-d5b25e3d,Discovered Unknown,Unknown Hotspot U-0086,Yelahanka,13.0972786,77.599327,836,745,4,0.1172,0.0203,0.5395,99,2024-04-08T04:49:46+00:00,WRONG PARKING,60.1,8.4444,0.0054,83.0243,98.1455,75.7489,37.0899,57.0613,75.86,95.29,Critical
N-1260c0b7,Named Junction,BTP082 - KR Market Junction,Halasuru Gate,12.9648369,77.5794873,796,712,13,0.1332,0.0264,0.3116,117,2024-04-07T19:57:46+00:00,WRONG PARKING,55.77,6.8034,0.0183,76.3195,92.8673,78.8873,41.7974,76.4622,75.81,95.15,Critical
U-04c61ddb,Discovered Unknown,Unknown Hotspot U-0184,Jeevanbheemanagar,12.9668192,77.6582609,86,76,2,0.0814,0.3953,0.1163,11,2024-04-05T20:01:46+00:00,WRONG PARKING,29.73,7.8182,0.0263,80.8845,66.1912,66.9044,87.1612,82.8816,75.56,95.01,Critical
N-dd200eff,Named Junction,BTP048 - Shanthala Junction,Chamarajpet,12.9769844,77.5707237,1537,1430,26,0.0234,0.1783,0.2498,120,2024-04-07T21:12:46+00:00,NO PARKING,56.09,12.8083,0.0182,91.7261,87.4465,35.0927,75.6063,76.1769,75.36,94.86,Critical
U-bf936b69,Discovered Unknown,Unknown Hotspot U-0056,Rajajinagar,13.0177174,77.531491,674,558,15,0.1454,0.2774,0.0846,88,2024-04-08T06:12:46+00:00,WRONG PARKING,53.09,7.6591,0.0269,80.3138,56.9187,81.7404,82.311,83.1669,75.34,94.72,Critical
U-9abd8ada,Discovered Unknown,Unknown Hotspot U-0079,Mahadevapura,12.9791509,77.6951531,517,449,7,0.4217,0.4352,0.0716,83,2024-04-05T23:38:46+00:00,NO PARKING,55.64,6.2289,0.0156,73.6091,52.9244,97.2896,88.3024,72.8959,75.31,94.58,Critical
N-72e57815,Named Junction,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,12.9538253,77.543398,775,706,7,0.0529,0.0916,0.3032,92,2024-04-08T04:55:46+00:00,WRONG PARKING,52.24,8.4239,0.0099,82.8816,92.2967,55.0642,65.1926,65.6205,75.29,94.44,Critical
U-0d4a69da,Discovered Unknown,Unknown Hotspot U-0255,HAL Old Airport,12.9565992,77.7085886,76,72,0,0.8158,0.0,0.5,12,2024-04-01T20:44:46+00:00,WRONG PARKING,46.25,6.3333,0.0,74.3224,97.4322,99.7147,22.5392,53.067,75.29,94.44,Critical
U-e8f05a04,Discovered Unknown,Unknown Hotspot U-0225,Halasur,12.9811187,77.6304775,63,44,1,0.2857,0.746,0.1905,19,2024-04-08T03:38:46+00:00,NO PARKING,34.84,3.3158,0.0227,47.2183,80.3138,92.4394,96.719,79.6006,75.2,94.15,Critical
N-29abb4cd,Named Junction,"BTP170 - Dr. Bheem Rao Palace, Chord Road",Rajajinagar,12.9905298,77.5516247,374,252,32,0.2941,0.1658,0.0936,71,2024-04-07T22:13:46+00:00,WRONG PARKING,49.64,5.2676,0.127,68.6163,59.6291,92.8673,74.6077,99.2867,75.19,94.01,Critical
U-957aa5df,Discovered Unknown,Unknown Hotspot U-0017,Mahadevapura,12.9955942,77.6956979,1466,1345,10,0.0512,0.3779,0.1235,89,2024-04-08T08:58:46+00:00,NO PARKING,53.77,16.4719,0.0074,94.0086,68.0456,53.923,86.5906,60.485,75.04,93.87,Critical
N-d16ec81b,Named Junction,"BTP170 - Dr. Bheem Rao Palace, Chord Road",Vijayanagara,12.9900754,77.5504762,199,145,12,0.1206,0.1809,0.2211,50,2024-04-01T23:42:46+00:00,WRONG PARKING,42.52,3.98,0.0828,57.3466,85.3067,76.6049,76.0342,97.7175,75.03,93.72,Critical
U-fc3a3fe8,Discovered Unknown,Unknown Hotspot U-0285,Electronic City,12.8231324,77.6855349,21,20,0,0.4286,0.7619,0.0952,4,2024-03-28T08:32:46+00:00,WRONG PARKING,11.65,5.25,0.0,68.331,60.1997,97.5749,96.8616,53.067,74.9,93.58,Critical
N-0e2a889b,Named Junction,BTP140 - Madiwala Check Post,Mico Layout,12.9303006,77.6096912,110,88,3,0.4273,0.7455,0.3818,47,2024-03-20T21:09:46+00:00,WRONG PARKING,42.49,2.3404,0.0341,27.5321,95.5777,97.4322,96.5763,86.8759,74.81,93.44,Critical
U-6bb82507,Discovered Unknown,Unknown Hotspot U-0008,HAL Old Airport,12.9333817,77.6901618,10228,5606,471,0.0772,0.3085,0.038,129,2024-04-06T06:12:46+00:00,NO PARKING,57.24,79.2868,0.084,99.8573,36.9472,65.6205,84.0228,97.8602,74.71,93.3,Critical
U-047545b9,Discovered Unknown,Unknown Hotspot U-0191,Electronic City,12.8404837,77.6768805,416,380,2,0.0505,0.3486,0.1611,37,2024-04-02T05:25:46+00:00,NO PARKING,46.77,11.2432,0.0053,89.0157,75.6063,53.067,85.4494,56.776,74.71,93.3,Critical
U-c8445fbe,Discovered Unknown,Unknown Hotspot U-0078,Hulimavu,12.8759634,77.647892,329,238,12,0.3191,0.003,0.1854,49,2024-04-02T20:59:46+00:00,WRONG PARKING,52.36,6.7143,0.0504,75.8916,79.1726,94.1512,24.5364,93.1526,74.39,93.01,Critical
U-d4afc73a,Discovered Unknown,Unknown Hotspot U-0001,Madiwala,12.925784,77.6191104,204,131,7,0.1275,0.0098,0.1814,23,2024-04-03T04:40:46+00:00,NO PARKING,42.78,8.8696,0.0534,84.5934,78.3167,78.174,29.5292,93.5806,74.38,92.87,Critical
U-f083b2c8,Discovered Unknown,Unknown Hotspot U-0377,K.R. Pura,13.0347326,77.7340818,22,22,0,0.0,1.0,0.2273,1,2023-11-12T21:40:46+00:00,PARKING ON FOOTPATH,6.83,22.0,0.0,96.0057,86.1626,18.5449,100.0,53.067,74.36,92.72,Critical
U-da9ef890,Discovered Unknown,Unknown Hotspot U-0252,Chikkajala,13.1441544,77.6178581,111,109,0,0.1261,0.036,0.3964,18,2024-04-07T21:24:46+00:00,NO PARKING,40.12,6.1667,0.0,73.3238,96.0057,77.8887,47.2183,53.067,73.97,92.58,Critical
U-ead68211,Discovered Unknown,Unknown Hotspot U-0047,Ashok Nagar,12.9723267,77.6071685,1582,1320,33,0.0316,0.1018,0.1852,122,2024-04-08T08:07:46+00:00,NO PARKING,55.81,12.9672,0.025,91.8688,79.03,41.7974,67.475,81.3124,73.93,92.44,Critical
N-d371794f,Named Junction,BTP098 - Nayandahalli Junction,Byatarayanapura,12.9448236,77.5276846,206,199,0,0.4854,0.3786,0.1942,57,2024-04-05T21:40:46+00:00,NO PARKING,47.64,3.614,0.0,52.2111,80.8845,98.2882,86.7332,53.067,73.86,92.3,Critical
N-a7daae55,Named Junction,"BTP127 - Sagar Hospital, Jayanagar",Jayanagara,12.9273819,77.5974821,70,63,0,0.2429,0.7,0.1429,17,2024-04-08T05:06:46+00:00,NO PARKING,26.58,4.1176,0.0,58.9158,72.6106,89.5863,95.5777,53.067,73.39,92.15,Critical
U-c6a29c8e,Discovered Unknown,Unknown Hotspot U-0026,Halasur,12.9734433,77.6188824,3037,2453,43,0.1778,0.0635,0.0547,148,2024-04-07T23:35:46+00:00,NO PARKING,57.81,20.5203,0.0175,95.2924,45.5064,84.4508,58.9158,75.1783,73.21,92.01,Critical
U-2d7456a0,Discovered Unknown,Unknown Hotspot U-0122,Kodigehalli,13.0500415,77.5931348,478,408,7,0.0711,0.0523,0.2322,70,2024-04-07T02:58:46+00:00,NO PARKING,52.12,6.8286,0.0172,76.4622,86.5906,62.3395,56.2054,74.7504,72.96,91.87,Critical
N-ffc29702,Named Junction,"BTP179 - 9th Block, 28th Main, Jayanagar",Jayanagara,12.9170085,77.5950962,101,90,0,0.0891,0.8911,0.1386,18,2024-04-07T21:40:46+00:00,WRONG PARKING,26.57,5.6111,0.0,70.1854,71.612,68.6163,98.4308,53.067,72.75,91.73,Critical
N-40baa05f,Named Junction,BTP082 - KR Market Junction,V.V.Puram (C.Pet),12.9638974,77.5763361,632,585,26,0.0443,0.0427,0.4778,107,2024-04-07T17:10:46+00:00,WRONG PARKING,55.5,5.9065,0.0444,71.4693,97.2896,49.786,51.7832,91.2981,72.62,91.58,Critical
N-5286fee2,Named Junction,BTP044 - Sagar Theatre Junction,Upparpet,12.9750545,77.5789751,10049,7754,269,0.0555,0.0412,0.0984,152,2024-04-08T05:13:46+00:00,NO PARKING,57.48,66.1118,0.0347,99.4294,60.7703,56.0628,50.3566,87.3039,72.52,91.44,Critical
U-b9ded50b,Discovered Unknown,Unknown Hotspot U-0253,Byatarayanapura,12.9480487,77.5346006,119,114,0,0.3193,0.521,0.2185,37,2024-04-03T05:57:46+00:00,NO PARKING,45.52,3.2162,0.0,45.3638,84.8787,94.2939,90.1569,53.067,72.52,91.44,Critical
N-1d7a62c4,Named Junction,"BTP094 - Sri Skanda Complex, Mysore Road",Byatarayanapura,12.9557868,77.5461691,111,101,1,0.3514,0.3514,0.1892,34,2024-04-04T03:41:46+00:00,NO PARKING,36.28,3.2647,0.0099,46.3623,80.0285,95.5777,85.592,65.4779,72.42,91.16,Critical
U-6c5165e2,Discovered Unknown,Unknown Hotspot U-0248,Adugodi,12.9402182,77.6199825,69,66,0,0.0435,0.1449,0.4348,11,2024-04-03T05:36:46+00:00,WRONG PARKING,31.52,6.2727,0.0,73.8944,96.5763,49.3581,72.7532,53.067,72.4,91.01,Critical
U-453d2275,Discovered Unknown,Unknown Hotspot U-0002,Byatarayanapura,12.9572955,77.5188271,519,491,1,0.0732,0.2755,0.1753,79,2024-04-08T07:04:46+00:00,WRONG PARKING,51.65,6.5696,0.002,74.893,77.8887,63.6234,81.7404,53.2097,72.25,90.87,Critical
U-a7ba889f,Discovered Unknown,Unknown Hotspot U-0057,Kodigehalli,13.062826,77.5892612,898,811,7,0.0156,0.1448,0.3051,86,2024-04-03T20:54:46+00:00,WRONG PARKING,54.86,10.4419,0.0086,87.3039,92.4394,27.3894,72.6106,62.4822,71.92,90.73,Critical
U-c0c630cb,Discovered Unknown,Unknown Hotspot U-0230,Pulikeshinagar(F.Town),12.9905091,77.6121291,112,61,3,0.0536,0.0,0.1696,5,2024-03-04T03:48:46+00:00,NO PARKING,29.07,22.4,0.0492,96.1484,76.7475,55.3495,22.5392,92.582,71.74,90.58,Critical
N-2d5e02cf,Named Junction,BTP211 - Central Street Junction,Shivajinagar,12.9833849,77.6034593,5373,4573,94,0.0307,0.0637,0.1245,149,2024-04-08T07:07:46+00:00,WRONG PARKING,56.84,36.0604,0.0206,98.7161,68.4736,41.5121,59.0585,78.0314,71.7,90.44,Critical
U-4d281c47,Discovered Unknown,Unknown Hotspot U-0136,Malleshwaram,13.0153323,77.5552015,184,184,1,0.0815,0.6957,0.2065,45,2024-04-07T00:17:46+00:00,NO PARKING,45.48,4.0889,0.0054,58.3452,83.0243,67.0471,95.4351,57.204,71.7,90.44,Critical
U-59b4cc9e,Discovered Unknown,Unknown Hotspot U-0090,Peenya,13.0471034,77.500994,163,128,1,0.0061,0.1472,0.2577,10,2024-01-12T03:30:46+00:00,WRONG PARKING,34.13,16.3,0.0078,93.8659,89.1583,20.3994,73.3238,61.7689,71.7,90.44,Critical
U-ec4a809e,Discovered Unknown,Unknown Hotspot U-0048,Kodigehalli,13.0474972,77.5756205,1076,774,21,0.0669,0.0056,0.2082,102,2024-04-08T09:19:46+00:00,WRONG PARKING,55.5,10.549,0.0271,87.5892,83.3096,60.913,26.2482,83.3096,71.55,90.01,Critical
U-77faf0f7,Discovered Unknown,Unknown Hotspot U-0077,Rajajinagar,13.0077453,77.5268215,434,343,11,0.1567,0.523,0.0806,98,2024-04-08T06:21:46+00:00,NO PARKING,51.99,4.4286,0.0321,62.1969,56.2054,83.3096,90.4422,85.7347,71.51,89.87,Critical
N-bd083a57,Named Junction,BTP018 - Dhobi Ghat Junction,Vijayanagara,12.9878376,77.5492642,213,194,11,0.0516,0.1127,0.2629,49,2024-04-05T23:56:46+00:00,WRONG PARKING,42.22,4.3469,0.0567,61.3409,89.4437,54.0656,68.9016,95.1498,71.43,89.73,Critical
N-050e77e7,Named Junction,BTP180 - Swagath Poornima Theatre,Halasuru Gate,12.9610472,77.5874871,195,145,3,0.359,0.041,0.2513,58,2024-04-06T03:54:46+00:00,NO PARKING,46.51,3.3621,0.0207,48.0742,88.5877,96.0057,50.214,78.174,71.12,89.59,Critical
N-5eb79fc5,Named Junction,"BTP168 - MSR Building, JC Road",Halasuru Gate,12.9612182,77.5843119,128,109,2,0.2109,0.0547,0.2656,37,2024-04-06T19:20:46+00:00,NO PARKING,37.0,3.4595,0.0183,49.786,89.8716,87.5892,56.776,76.7475,71.11,89.44,Critical
U-0de9a1ae,Discovered Unknown,Unknown Hotspot U-0359,Electronic City,12.8553747,77.6645546,88,84,1,0.0568,0.6932,0.2841,24,2024-03-26T04:19:46+00:00,WRONG PARKING,37.25,3.6667,0.0119,53.3524,90.4422,56.6334,95.2924,68.6163,71.1,89.3,Critical
N-fbf17e0c,Named Junction,"BTP202 - East End Main Road, Jayanagar",Jayanagara,12.9173464,77.5968095,131,118,0,0.084,0.7634,0.1374,27,2024-04-07T21:19:46+00:00,NO PARKING,31.23,4.8519,0.0,65.4779,71.184,67.903,97.0043,53.067,70.88,89.16,Critical
U-2f2b0b54,Discovered Unknown,Unknown Hotspot U-0196,Yeshwanthpura,13.0247068,77.5470531,25,25,1,0.32,0.4,0.04,5,2024-02-14T21:42:46+00:00,WRONG PARKING,12.87,5.0,0.04,66.6191,38.3738,94.7218,87.5892,89.729,70.63,89.02,Critical
N-b672bf35,Named Junction,BTP041 - Gopal Gowda Circle,Cubbon Park,12.9772959,77.5902652,378,335,3,0.0106,0.1534,0.3333,45,2024-04-07T19:21:46+00:00,NO PARKING,44.47,8.4,0.009,82.5963,94.1512,24.1084,74.1797,63.1954,70.58,88.87,Critical
N-e6193522,Named Junction,BTP167 - JC Road Junction,City Market,12.95826,77.5812433,368,333,1,0.1304,0.0707,0.1875,71,2024-04-04T02:42:46+00:00,WRONG PARKING,46.61,5.1831,0.003,67.6177,79.7432,78.602,61.3409,54.2083,70.56,88.73,Critical
N-1db9a8fa,Named Junction,BTP092 - Bangalore Builders Junction,Chamarajpet,12.9591119,77.5561384,72,67,1,0.1528,0.4028,0.4028,28,2024-04-04T05:41:46+00:00,NO PARKING,32.1,2.5714,0.0149,31.8117,96.1484,82.8816,87.7318,72.0399,70.52,88.59,Critical
U-4a68abb0,Discovered Unknown,Unknown Hotspot U-0218,Chikkabanavara,13.0488911,77.4974657,137,123,0,0.2555,0.5839,0.1752,42,2024-04-08T06:53:46+00:00,PARKING IN A MAIN ROAD,45.74,3.2619,0.0,46.2197,77.7461,90.5849,91.7261,53.067,70.49,88.45,Critical
U-6b94da2d,Discovered Unknown,Unknown Hotspot U-0062,HSR Layout,12.9065289,77.63004,1239,1036,16,0.0282,0.1316,0.1453,116,2024-04-06T06:06:46+00:00,WRONG PARKING,54.42,10.681,0.0154,88.1598,72.7532,38.8017,70.8987,72.4679,70.28,88.3,Critical
U-58cdb719,Discovered Unknown,Unknown Hotspot U-0044,Banaswadi,12.9935706,77.6625233,902,791,12,0.0443,0.0011,0.3625,93,2024-04-07T08:55:46+00:00,NO PARKING,56.59,9.6989,0.0152,86.3053,94.8645,49.786,22.8245,72.1826,70.21,88.16,Critical
U-7ca82fbd,Discovered Unknown,Unknown Hotspot U-0015,Electronic City,12.8418377,77.64605,2116,1758,26,0.0321,0.018,0.2198,133,2024-04-08T07:29:46+00:00,WRONG PARKING,57.38,15.9098,0.0148,93.4379,85.0214,41.9401,35.2354,71.8973,70.15,88.02,Critical
U-782f6fa3,Discovered Unknown,Unknown Hotspot U-0192,Peenya,13.0399003,77.5185571,330,309,0,0.1788,0.1848,0.1242,70,2024-04-06T03:55:46+00:00,NO PARKING,49.92,4.7143,0.0,64.622,68.331,84.5934,76.3195,53.067,70.14,87.87,Critical
N-67596e34,Named Junction,BTP203 - RRMR Junction,Halasuru Gate,12.9673479,77.5935331,123,116,0,0.1626,0.1789,0.3415,39,2024-04-06T20:55:46+00:00,NO PARKING,37.18,3.1538,0.0,43.9372,94.2939,83.4522,75.7489,53.067,70.11,87.73,Critical
U-2ec3c991,Discovered Unknown,Unknown Hotspot U-0040,HSR Layout,12.9120782,77.6259052,436,402,3,0.1468,0.0436,0.2248,105,2024-04-08T05:19:46+00:00,WRONG PARKING,54.03,4.1524,0.0075,59.6291,85.8773,82.1683,52.6391,60.6277,69.75,87.59,Critical
N-0002061c,Named Junction,BTP213 - Royan Circle,Chamarajpet,12.9606725,77.5681329,20,20,0,0.25,0.65,0.2,7,2024-03-20T22:19:46+00:00,NO PARKING,18.23,2.8571,0.0,38.5164,82.4536,90.2996,93.7233,53.067,69.59,87.45,Critical
U-d492ae67,Discovered Unknown,Unknown Hotspot U-0082,Electronic City,12.8189133,77.6887944,237,226,0,0.0422,0.6709,0.1857,45,2024-04-08T06:15:46+00:00,WRONG PARKING,45.73,5.2667,0.0,68.4736,79.3153,48.3595,94.5792,53.067,69.54,87.3,Critical
