hotspot_id,hotspot_type,hotspot_name,police_station,latitude,longitude,violation_count,unique_vehicle_count,repeat_vehicle_count,large_vehicle_share,main_road_violation_share,peak_hour_share,active_days,latest_datetime,top_violation_type,hotspot_severity
U-f1b01484,Discovered Unknown,Unknown Hotspot U-0013,K.R. Pura,13.0057366,77.6858728,1334,1257,5,0.0765,0.1222,0.2714,80,2024-04-02T20:21:46+00:00,WRONG PARKING,55.68
U-10e61a8b,Discovered Unknown,Unknown Hotspot U-0038,Jeevanbheemanagar,12.9597028,77.6474294,1260,1156,13,0.3056,0.081,0.0317,131,2024-04-07T03:18:46+00:00,NO PARKING,57.5
U-6b94da2d,Discovered Unknown,Unknown Hotspot U-0062,HSR Layout,12.9065289,77.63004,1239,1036,16,0.0282,0.1316,0.1453,116,2024-04-06T06:06:46+00:00,WRONG PARKING,54.42
U-0d3e3ab6,Discovered Unknown,Unknown Hotspot U-0127,Jeevanbheemanagar,12.9717506,77.6580948,1230,927,23,0.0179,0.1423,0.1073,103,2024-04-08T06:11:46+00:00,NO PARKING,53.44
U-783a29c8,Discovered Unknown,Unknown Hotspot U-0068,Sadashivanagar,13.0278618,77.5747026,1227,1079,12,0.0285,0.0261,0.0375,128,2024-04-08T03:53:46+00:00,WRONG PARKING,53.02
U-ec4a809e,Discovered Unknown,Unknown Hotspot U-0048,Kodigehalli,13.0474972,77.5756205,1076,774,21,0.0669,0.0056,0.2082,102,2024-04-08T09:19:46+00:00,WRONG PARKING,55.5
U-0c358023,Discovered Unknown,Unknown Hotspot U-0075,City Market,12.9695834,77.5756911,974,842,29,0.0287,0.0113,0.1109,124,2024-04-07T04:48:46+00:00,WRONG PARKING,54.14
U-3dd4f84e,Discovered Unknown,Unknown Hotspot U-0107,Shivajinagar,12.9895231,77.5997852,970,826,13,0.0763,0.0113,0.033,107,2024-04-07T08:04:46+00:00,WRONG PARKING,52.92
U-62768426,Discovered Unknown,Unknown Hotspot U-0066,Chikkajala,13.1912467,77.646222,947,881,7,0.1922,0.3728,0.3221,96,2024-04-04T01:08:46+00:00,NO PARKING,58.28
U-58cdb719,Discovered Unknown,Unknown Hotspot U-0044,Banaswadi,12.9935706,77.6625233,902,791,12,0.0443,0.0011,0.3625,93,2024-04-07T08:55:46+00:00,NO PARKING,56.59
U-a7ba889f,Discovered Unknown,Unknown Hotspot U-0057,Kodigehalli,13.062826,77.5892612,898,811,7,0.0156,0.1448,0.3051,86,2024-04-03T20:54:46+00:00,WRONG PARKING,54.86
U-665c7113,Discovered Unknown,Unknown Hotspot U-0049,Magadi Road,12.9757349,77.5588195,892,821,5,0.0123,0.0235,0.0314,106,2024-04-07T23:49:46+00:00,NO PARKING,51.34
U-4d94be43,Discovered Unknown,Unknown Hotspot U-0131,HAL Old Airport,12.9720971,77.7117411,842,790,3,0.304,0.1829,0.1496,90,2024-04-07T22:49:46+00:00,WRONG PARKING,56.81
U-d5b25e3d,Discovered Unknown,Unknown Hotspot U-0086,Yelahanka,13.0972786,77.599327,836,745,4,0.1172,0.0203,0.5395,99,2024-04-08T04:49:46+00:00,WRONG PARKING,60.1
U-ee48a596,Discovered Unknown,Unknown Hotspot U-0105,Yeshwanthpura,13.0301249,77.5373951,834,770,3,0.0971,0.3034,0.265,129,2024-04-08T06:04:46+00:00,WRONG PARKING,56.57
U-59dc3a4a,Discovered Unknown,Unknown Hotspot U-0220,Adugodi,12.9322729,77.631756,735,623,9,0.0082,0.0435,0.1741,60,2024-04-07T07:16:46+00:00,NO PARKING,50.88
U-e8061dc4,Discovered Unknown,Unknown Hotspot U-0065,Magadi Road,12.9644023,77.5536829,730,604,11,0.0685,0.1438,0.1027,120,2024-04-08T05:53:46+00:00,NO PARKING,53.39
U-d088d7db,Discovered Unknown,Unknown Hotspot U-0089,Pulikeshinagar(F.Town),13.0003886,77.611338,708,634,9,0.0226,0.1511,0.0918,102,2024-04-07T07:26:46+00:00,NO PARKING,51.84
U-5e3433f6,Discovered Unknown,Unknown Hotspot U-0054,Whitefield,12.9874324,77.7345597,678,520,2,0.0074,0.9071,0.0678,51,2024-04-07T06:26:46+00:00,PARKING ON FOOTPATH,48.45
U-bf936b69,Discovered Unknown,Unknown Hotspot U-0056,Rajajinagar,13.0177174,77.531491,674,558,15,0.1454,0.2774,0.0846,88,2024-04-08T06:12:46+00:00,WRONG PARKING,53.09
U-555c9911,Discovered Unknown,Unknown Hotspot U-0051,R.T. Nagar,13.0250599,77.5853057,663,601,8,0.0588,0.0211,0.0468,118,2024-04-07T22:12:46+00:00,WRONG PARKING,51.88
U-3ea59f70,Discovered Unknown,Unknown Hotspot U-0011,Sheshadripuram,12.9964644,77.5627319,629,408,22,0.0127,0.0095,0.027,53,2024-04-06T05:08:46+00:00,NO PARKING,48.51
U-b979dd4f,Discovered Unknown,Unknown Hotspot U-0114,Byatarayanapura,12.9609401,77.5277935,619,490,2,0.0032,0.0016,0.0097,17,2024-02-28T23:45:46+00:00,WRONG PARKING,40.23
U-9b3d93ea,Discovered Unknown,Unknown Hotspot U-0007,Bellandur,12.8997134,77.6754664,605,555,5,0.0182,0.0099,0.2116,84,2024-04-07T05:40:46+00:00,NO PARKING,52.21
U-377f2922,Discovered Unknown,Unknown Hotspot U-0104,Electronic City,12.8704675,77.6548899,549,356,22,0.0383,0.0929,0.1056,72,2024-04-08T00:51:46+00:00,WRONG PARKING,51.08
U-445a1ce2,Discovered Unknown,Unknown Hotspot U-0034,Jeevanbheemanagar,12.9783357,77.6400747,523,449,5,0.0268,0.26,0.0153,70,2024-04-06T04:50:46+00:00,NO PARKING,48.55
U-8ebbc584,Discovered Unknown,Unknown Hotspot U-0109,Hulimavu,12.8762578,77.5959812,523,387,10,0.0134,0.0019,0.1606,52,2024-04-07T05:59:46+00:00,NO PARKING,49.69
U-5acaba4d,Discovered Unknown,Unknown Hotspot U-0199,Bellandur,12.9290428,77.6951259,522,457,10,0.4559,0.6628,0.046,60,2024-04-02T09:51:46+00:00,NO PARKING,54.73
U-453d2275,Discovered Unknown,Unknown Hotspot U-0002,Byatarayanapura,12.9572955,77.5188271,519,491,1,0.0732,0.2755,0.1753,79,2024-04-08T07:04:46+00:00,WRONG PARKING,51.65
U-9abd8ada,Discovered Unknown,Unknown Hotspot U-0079,Mahadevapura,12.9791509,77.6951531,517,449,7,0.4217,0.4352,0.0716,83,2024-04-05T23:38:46+00:00,NO PARKING,55.64
U-2d7456a0,Discovered Unknown,Unknown Hotspot U-0122,Kodigehalli,13.0500415,77.5931348,478,408,7,0.0711,0.0523,0.2322,70,2024-04-07T02:58:46+00:00,NO PARKING,52.12
U-05cc6c28,Discovered Unknown,Unknown Hotspot U-0081,K.G. Halli,13.0352492,77.6244475,474,333,12,0.2363,0.0063,0.0127,39,2024-03-15T04:04:46+00:00,NO PARKING,49.03
U-408e8fe6,Discovered Unknown,Unknown Hotspot U-0096,Jnanabharathi,12.9609571,77.5116777,473,441,1,0.0106,0.0423,0.0888,107,2024-04-08T08:28:46+00:00,NO PARKING,50.37
U-2746b729,Discovered Unknown,Unknown Hotspot U-0041,R.T. Nagar,13.0229226,77.5928981,464,435,1,0.0194,0.0151,0.0668,39,2024-03-09T21:40:46+00:00,WRONG PARKING,45.91
U-51207169,Discovered Unknown,Unknown Hotspot U-0045,High ground,12.9935912,77.5898432,446,326,20,0.0,0.0224,0.1256,30,2024-03-27T03:49:46+00:00,WRONG PARKING,45.29
U-5d0c34b7,Discovered Unknown,Unknown Hotspot U-0146,Basavanagudi,12.9416511,77.5670856,443,415,0,0.0113,0.0135,0.0226,84,2024-04-07T23:09:46+00:00,NO PARKING,48.08
U-2ec3c991,Discovered Unknown,Unknown Hotspot U-0040,HSR Layout,12.9120782,77.6259052,436,402,3,0.1468,0.0436,0.2248,105,2024-04-08T05:19:46+00:00,WRONG PARKING,54.03
U-f8c666a8,Discovered Unknown,Unknown Hotspot U-0032,Shivajinagar,12.9856442,77.60551,434,423,6,0.0507,0.023,0.0876,85,2024-04-08T06:15:46+00:00,WRONG PARKING,49.79
U-77faf0f7,Discovered Unknown,Unknown Hotspot U-0077,Rajajinagar,13.0077453,77.5268215,434,343,11,0.1567,0.523,0.0806,98,2024-04-08T06:21:46+00:00,NO PARKING,51.99
U-f82498fd,Discovered Unknown,Unknown Hotspot U-0148,Bellandur,12.9213733,77.66647,422,413,4,0.1825,0.0213,0.09,109,2024-04-07T02:47:46+00:00,WRONG PARKING,52.51
U-047545b9,Discovered Unknown,Unknown Hotspot U-0191,Electronic City,12.8404837,77.6768805,416,380,2,0.0505,0.3486,0.1611,37,2024-04-02T05:25:46+00:00,NO PARKING,46.77
U-44c92018,Discovered Unknown,Unknown Hotspot U-0073,Yeshwanthpura,13.0274434,77.5428048,415,321,2,0.0458,0.1108,0.0916,69,2024-04-06T07:08:46+00:00,NO PARKING,48.3
U-451d4eab,Discovered Unknown,Unknown Hotspot U-0117,Yelahanka,13.0936355,77.5942196,403,311,8,0.0099,0.005,0.0769,38,2024-04-07T05:17:46+00:00,WRONG PARKING,45.23
U-fcb30519,Discovered Unknown,Unknown Hotspot U-0121,Yeshwanthpura,13.0189052,77.5577103,401,343,3,0.0574,0.1471,0.0998,72,2024-03-30T21:47:46+00:00,NO PARKING,48.81
U-c12138e2,Discovered Unknown,Unknown Hotspot U-0156,Byatarayanapura,12.9360188,77.5179346,393,373,0,0.0254,0.056,0.0967,62,2024-04-07T07:06:46+00:00,WRONG PARKING,47.36
U-3cf77393,Discovered Unknown,Unknown Hotspot U-0149,Whitefield,12.9514364,77.7174912,392,344,2,0.2347,0.8291,0.2092,45,2024-04-06T21:41:46+00:00,WRONG PARKING,51.08
U-c138ca91,Discovered Unknown,Unknown Hotspot U-0171,Vijayanagara,12.9643486,77.5411404,383,330,3,0.0104,0.0157,0.0131,48,2024-04-08T04:48:46+00:00,WRONG PARKING,45.04
U-6aedc9d1,Discovered Unknown,Unknown Hotspot U-0161,Bellandur,12.9130291,77.6796335,375,364,0,0.0347,0.016,0.0827,95,2024-04-08T07:43:46+00:00,NO PARKING,48.73
U-6e374766,Discovered Unknown,Unknown Hotspot U-0092,Kamakshipalya,12.9896367,77.5018687,374,363,1,0.016,0.0749,0.0348,79,2024-04-08T06:21:46+00:00,NO PARKING,46.93
U-10742d64,Discovered Unknown,Unknown Hotspot U-0085,Mico Layout,12.9308782,77.6065274,363,226,15,0.0055,0.0441,0.2204,74,2024-04-06T20:33:46+00:00,NO PARKING,50.23
U-082f8234,Discovered Unknown,Unknown Hotspot U-0046,Thalagattapura,12.8885892,77.5626791,351,334,1,0.0057,0.0085,0.0712,78,2024-04-08T04:26:46+00:00,NO PARKING,47.05
U-32926ee3,Discovered Unknown,Unknown Hotspot U-0275,Mico Layout,12.9135991,77.6053213,333,297,1,0.03,0.003,0.006,31,2024-03-30T23:55:46+00:00,NO PARKING,41.89
U-782f6fa3,Discovered Unknown,Unknown Hotspot U-0192,Peenya,13.0399003,77.5185571,330,309,0,0.1788,0.1848,0.1242,70,2024-04-06T03:55:46+00:00,NO PARKING,49.92
U-c8445fbe,Discovered Unknown,Unknown Hotspot U-0078,Hulimavu,12.8759634,77.647892,329,238,12,0.3191,0.003,0.1854,49,2024-04-02T20:59:46+00:00,WRONG PARKING,52.36
U-2e9c668b,Discovered Unknown,Unknown Hotspot U-0111,Kodigehalli,13.058396,77.592314,309,271,3,0.0388,0.0356,0.2104,82,2024-04-08T05:55:46+00:00,WRONG PARKING,49.6
U-a7079eda,Discovered Unknown,Unknown Hotspot U-0098,Yeshwanthpura,13.0338245,77.5578323,300,274,0,0.0467,0.5967,0.0933,38,2024-03-24T05:10:46+00:00,NO PARKING,44.5
U-6fb96efa,Discovered Unknown,Unknown Hotspot U-0258,HAL Old Airport,12.9585716,77.6682409,300,276,2,0.01,0.0133,0.0633,20,2024-03-30T23:01:46+00:00,WRONG PARKING,39.34
U-bd4b0f79,Discovered Unknown,Unknown Hotspot U-0067,Bellandur,12.9174004,77.6722529,299,289,0,0.0702,0.1973,0.0702,85,2024-04-08T07:35:46+00:00,WRONG PARKING,47.85
U-aad3d7ea,Discovered Unknown,Unknown Hotspot U-0138,Chikkajala,13.1215627,77.6311795,294,280,1,0.3197,0.4184,0.4456,44,2024-04-06T03:59:46+00:00,NO PARKING,54.57
U-4eaba823,Discovered Unknown,Unknown Hotspot U-0135,Wilson Garden,12.937714,77.5851459,280,267,0,0.0,0.0607,0.1679,75,2024-04-06T06:42:46+00:00,NO PARKING,47.53
U-76da9b15,Discovered Unknown,Unknown Hotspot U-0059,Halasur,12.9789284,77.6287535,274,240,0,0.1423,0.6204,0.0255,67,2024-04-06T02:07:46+00:00,WRONG PARKING,46.89
U-e89e18bb,Discovered Unknown,Unknown Hotspot U-0108,Rajajinagar,13.0088163,77.5430917,259,238,7,0.0347,0.0425,0.0734,67,2024-04-08T00:43:46+00:00,WRONG PARKING,46.35
U-b6f5dc4d,Discovered Unknown,Unknown Hotspot U-0010,Peenya,13.0453957,77.5071079,257,243,0,0.0739,0.0272,0.1362,87,2024-04-05T23:53:46+00:00,WRONG PARKING,48.55
U-0efe2b33,Discovered Unknown,Unknown Hotspot U-0163,Jalahalli,13.0504889,77.5255347,249,101,17,0.0,0.0,0.0161,24,2024-02-22T23:24:46+00:00,NO PARKING,41.14
U-eee7805c,Discovered Unknown,Unknown Hotspot U-0125,Banaswadi,13.0222773,77.6385524,248,246,0,0.0081,0.004,0.2097,50,2024-04-07T01:34:46+00:00,WRONG PARKING,46.43
U-8e1195ad,Discovered Unknown,Unknown Hotspot U-0016,Banashankari,12.9349846,77.5365009,241,137,9,0.0249,0.0,0.0083,36,2024-03-04T21:51:46+00:00,NO PARKING,42.55
U-ae693b7b,Discovered Unknown,Unknown Hotspot U-0123,Chikkajala,13.184063,77.6876371,241,223,5,0.0747,0.0083,0.0041,44,2024-03-23T02:53:46+00:00,WRONG PARKING,43.94
U-2a15430f,Discovered Unknown,Unknown Hotspot U-0150,Kamakshipalya,12.9871226,77.5195473,241,208,0,0.0207,0.0041,0.1992,28,2024-04-07T21:31:46+00:00,NO PARKING,42.86
U-d492ae67,Discovered Unknown,Unknown Hotspot U-0082,Electronic City,12.8189133,77.6887944,237,226,0,0.0422,0.6709,0.1857,45,2024-04-08T06:15:46+00:00,WRONG PARKING,45.73
U-12cee03d,Discovered Unknown,Unknown Hotspot U-0130,Pulikeshinagar(F.Town),12.9874386,77.6186903,219,188,1,0.0228,0.0822,0.0639,60,2024-04-08T06:01:46+00:00,NO PARKING,44.56
U-64f65dda,Discovered Unknown,Unknown Hotspot U-0069,K.R. Pura,13.0458741,77.7503298,217,209,1,0.1198,0.3088,0.0691,83,2024-04-06T20:26:46+00:00,NO PARKING,47.3
U-1e53ec47,Discovered Unknown,Unknown Hotspot U-0102,Jalahalli,13.0572875,77.5469449,217,187,2,0.0184,0.0184,0.0507,70,2024-04-07T23:14:46+00:00,NO PARKING,44.99
U-ef1f763d,Discovered Unknown,Unknown Hotspot U-0141,Vijayanagara,12.9688915,77.545569,211,192,1,0.0095,0.0,0.0427,40,2024-03-28T21:11:46+00:00,NO PARKING,42.12
U-d4afc73a,Discovered Unknown,Unknown Hotspot U-0001,Madiwala,12.925784,77.6191104,204,131,7,0.1275,0.0098,0.1814,23,2024-04-03T04:40:46+00:00,NO PARKING,42.78
U-8bc09b70,Discovered Unknown,Unknown Hotspot U-0035,Bellandur,12.9068096,77.6966917,204,198,0,0.1373,0.0,0.0882,31,2024-04-04T06:12:46+00:00,WRONG PARKING,42.74
U-b8b2e331,Discovered Unknown,Unknown Hotspot U-0170,R.T. Nagar,13.0054991,77.5936226,200,172,1,0.07,0.055,0.235,56,2024-04-04T23:05:46+00:00,NO PARKING,47.06
U-cf16d44d,Discovered Unknown,Unknown Hotspot U-0178,Byatarayanapura,12.9403093,77.5243791,196,189,0,0.1276,0.0714,0.1378,36,2024-04-08T06:04:46+00:00,WRONG PARKING,44.08
U-2ef4aad5,Discovered Unknown,Unknown Hotspot U-0115,HSR Layout,12.9105869,77.6445532,195,178,0,0.0256,0.0,0.0718,21,2024-04-03T00:29:46+00:00,NO PARKING,37.86
U-439c24ac,Discovered Unknown,Unknown Hotspot U-0084,Adugodi,12.9257818,77.6336206,194,174,0,0.1753,0.134,0.0722,57,2024-04-08T03:29:46+00:00,NO PARKING,45.9
U-53d74bb5,Discovered Unknown,Unknown Hotspot U-0158,Pulikeshinagar(F.Town),12.9993034,77.62484,192,185,0,0.026,0.0104,0.0,28,2024-04-02T05:59:46+00:00,NO PARKING,38.72
U-04ff2203,Discovered Unknown,Unknown Hotspot U-0165,Jalahalli,13.0509516,77.5526774,187,175,1,0.0267,0.2032,0.0053,46,2024-04-05T22:36:46+00:00,NO PARKING,41.87
U-860aeb22,Discovered Unknown,Unknown Hotspot U-0091,Upparpet,12.9788182,77.5816307,186,178,10,0.0591,0.0,0.0538,62,2024-04-07T04:35:46+00:00,WRONG PARKING,44.81
U-4d281c47,Discovered Unknown,Unknown Hotspot U-0136,Malleshwaram,13.0153323,77.5552015,184,184,1,0.0815,0.6957,0.2065,45,2024-04-07T00:17:46+00:00,NO PARKING,45.48
U-7765280c,Discovered Unknown,Unknown Hotspot U-0093,Sadashivanagar,13.007385,77.5792626,182,164,1,0.011,0.2143,0.0714,42,2024-04-05T21:43:46+00:00,NO PARKING,42.02
U-9b7240da,Discovered Unknown,Unknown Hotspot U-0154,J.P. Nagar,12.8947535,77.5991068,181,174,1,0.0,0.0,0.011,39,2024-04-04T01:48:46+00:00,NO PARKING,40.35
U-da08fe97,Discovered Unknown,Unknown Hotspot U-0155,Yelahanka,13.0996493,77.588657,178,174,0,0.0056,0.0169,0.0056,26,2024-04-07T06:13:46+00:00,NO PARKING,37.27
U-31ad42b6,Discovered Unknown,Unknown Hotspot U-0009,HSR Layout,12.9172271,77.6517215,176,169,0,0.0,0.0,0.0398,60,2024-04-08T06:14:46+00:00,WRONG PARKING,42.28
U-147a0e69,Discovered Unknown,Unknown Hotspot U-0099,Whitefield,12.8966489,77.7200507,174,173,0,0.0632,0.092,0.092,71,2024-04-08T02:00:46+00:00,WRONG PARKING,44.68
U-80f6a952,Discovered Unknown,Unknown Hotspot U-0053,Mico Layout,12.9271022,77.6090337,173,164,4,0.3295,0.7803,0.0694,63,2024-04-05T09:05:46+00:00,WRONG PARKING,48.11
U-3eb47958,Discovered Unknown,Unknown Hotspot U-0168,Sheshadripuram,12.9980316,77.5815248,171,125,4,0.0292,0.0175,0.0,27,2024-04-05T21:31:46+00:00,NO PARKING,38.12
U-f1352255,Discovered Unknown,Unknown Hotspot U-0113,Mahadevapura,13.0046674,77.7571085,168,165,0,0.0417,0.0417,0.0119,61,2024-04-07T07:42:46+00:00,NO PARKING,42.19
U-0499d4a7,Discovered Unknown,Unknown Hotspot U-0036,Kodigehalli,13.0539216,77.5927464,165,150,0,0.0121,0.0061,0.0606,8,2024-03-14T20:48:46+00:00,WRONG PARKING,29.67
U-59b4cc9e,Discovered Unknown,Unknown Hotspot U-0090,Peenya,13.0471034,77.500994,163,128,1,0.0061,0.1472,0.2577,10,2024-01-12T03:30:46+00:00,WRONG PARKING,34.13
U-46fbc160,Discovered Unknown,Unknown Hotspot U-0144,Hulimavu,12.8807142,77.6450725,155,109,15,0.3032,0.0,0.0839,41,2024-03-26T22:09:46+00:00,WRONG PARKING,47.48
U-19991bc5,Discovered Unknown,Unknown Hotspot U-0039,Rajajinagar,13.0221448,77.5325787,150,148,0,0.24,0.1333,0.2067,69,2024-04-08T06:11:46+00:00,WRONG PARKING,48.18
U-adf81120,Discovered Unknown,Unknown Hotspot U-0145,K.R. Pura,13.0034633,77.7234964,148,141,0,0.0203,1.0,0.0135,41,2024-04-03T00:40:46+00:00,PARKING IN A MAIN ROAD,39.94
U-0528ec4e,Discovered Unknown,Unknown Hotspot U-0139,Rajajinagar,13.0017796,77.5257616,143,121,2,0.1119,0.5874,0.049,48,2024-04-08T06:34:46+00:00,NO PARKING,42.81
U-ee669af7,Discovered Unknown,Unknown Hotspot U-0043,Bellandur,12.9036684,77.7042074,140,131,1,0.0357,0.0,0.2,50,2024-04-07T05:44:46+00:00,WRONG PARKING,43.91
U-a7e19b6b,Discovered Unknown,Unknown Hotspot U-0172,Adugodi,12.9363858,77.6172772,138,132,1,0.0507,0.1232,0.1884,43,2024-04-06T02:28:46+00:00,NO PARKING,43.12
U-2820290e,Discovered Unknown,Unknown Hotspot U-0211,Whitefield,12.9629566,77.7329686,137,133,1,0.0146,0.5474,0.1679,17,2024-04-02T08:07:46+00:00,NO PARKING,36.05
U-4a68abb0,Discovered Unknown,Unknown Hotspot U-0218,Chikkabanavara,13.0488911,77.4974657,137,123,0,0.2555,0.5839,0.1752,42,2024-04-08T06:53:46+00:00,PARKING IN A MAIN ROAD,45.74
U-4f4791fa,Discovered Unknown,Unknown Hotspot U-0296,Byatarayanapura,12.9501882,77.5223018,136,92,4,0.4338,0.6838,0.2941,12,2024-03-17T06:15:46+00:00,PARKING IN A MAIN ROAD,42.04
U-b34f191b,Discovered Unknown,Unknown Hotspot U-0190,Kodigehalli,13.0366658,77.5747562,131,128,1,0.0305,0.0076,0.0076,19,2024-03-08T07:51:46+00:00,WRONG PARKING,34.38
U-7439b46c,Discovered Unknown,Unknown Hotspot U-0369,Banaswadi,12.9916136,77.6524204,128,106,1,0.0,1.0,0.0,4,2024-01-04T01:45:46+00:00,PARKING IN A MAIN ROAD,25.66
U-0a1aff26,Discovered Unknown,Unknown Hotspot U-0061,K.S. Layout,12.9068603,77.5460382,126,121,0,0.0556,0.5794,0.0397,38,2024-03-28T07:11:46+00:00,WRONG PARKING,39.52
U-7f95a75a,Discovered Unknown,Unknown Hotspot U-0213,Wilson Garden,12.9461451,77.5878151,124,110,1,0.0,0.0887,0.5081,26,2024-04-06T20:29:46+00:00,NO PARKING,43.1
U-40527cd3,Discovered Unknown,Unknown Hotspot U-0133,Jeevanbheemanagar,12.9593522,77.655814,123,121,0,0.1057,0.3577,0.0894,40,2024-04-07T05:54:46+00:00,NO PARKING,41.19
U-7857e79f,Discovered Unknown,Unknown Hotspot U-0055,Jnanabharathi,12.9716278,77.5076031,121,110,1,0.0826,0.3306,0.0579,48,2024-04-05T05:52:46+00:00,NO PARKING,41.43
U-f0d0546f,Discovered Unknown,Unknown Hotspot U-0266,R.T. Nagar,13.017621,77.5916759,121,105,0,0.0909,0.0,0.124,14,2024-04-02T05:38:46+00:00,WRONG PARKING,34.22
U-40ec80fe,Discovered Unknown,Unknown Hotspot U-0080,Mahadevapura,12.998918,77.6881467,119,101,0,0.0672,0.2437,0.1597,41,2024-04-07T00:49:46+00:00,WRONG PARKING,41.61
U-b9ded50b,Discovered Unknown,Unknown Hotspot U-0253,Byatarayanapura,12.9480487,77.5346006,119,114,0,0.3193,0.521,0.2185,37,2024-04-03T05:57:46+00:00,NO PARKING,45.52
